local_ts,epoch_sec,sec_from_open,ticker,instrument_symbol,strike,yes_bid,yes_ask,yes_bid_size,yes_ask_size,yes_bid_usd,yes_ask_usd,no_ask_implied,no_bid_implied,no_ask_usd_buyable,no_ask_usd_total,last_trade_price,open_time,close_time,status
2026-05-05 20:13:24.882,1778012004,804,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.2000,0.0000,0.0200,,2.0000,48.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:26.329,1778012006,805,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:27.808,1778012007,807,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:29.423,1778012009,808,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:30.930,1778012010,810,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:32.344,1778012012,811,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:33.860,1778012013,813,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.5500,0.0000,0.0200,,2.0000,43.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:35.232,1778012015,814,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1273.5500,0.0000,0.0200,,6.0000,41.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:36.627,1778012016,816,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:38.063,1778012018,817,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:39.507,1778012019,819,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:41.070,1778012021,820,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:42.532,1778012022,821,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:43.937,1778012023,823,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:45.358,1778012025,824,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:46.859,1778012026,826,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:48.218,1778012028,827,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:49.586,1778012029,829,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:51.036,1778012031,830,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:52.508,1778012032,832,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:53.869,1778012033,833,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,300.0000,,1278.5500,0.0000,0.0200,,6.0000,36.4500,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
